Data Size:	128 x 128
Surface Size:	1.75 x 1.75
X Unit:	μm
Y Unit:	μm
Z Unit:	nm

PointNo.     	X      	Y      	Z
1	0.125	0.125	1.226246
2	0.375	0.125	1.440585
3	0.625	0.125	1.408488
4	0.875	0.125	1.622379
5	1.125	0.125	1.460403
6	1.375	0.125	1.55881
7	1.625	0.125	1.506299
8	1.875	0.125	1.583397
9	0.125	0.375	1.482129
10	0.375	0.375	1.448065
11	0.625	0.375	1.416922
12	0.875	0.375	1.590788
13	1.125	0.375	1.49551
14	1.375	0.375	1.654029
15	1.625	0.375	1.418531
16	1.875	0.375	1.575351
17	0.125	0.625	1.59961
18	0.375	0.625	1.704395
19	0.625	0.625	1.798391
20	0.875	0.625	1.450449
21	1.125	0.625	1.324475
22	1.375	0.625	1.315832
23	1.625	0.625	1.369268
24	1.875	0.625	1.367062
25	0.125	0.875	1.31619
26	0.375	0.875	28.193951
27	0.625	0.875	1.60858
28	0.875	0.875	1.57851
29	1.125	0.875	1.600415
30	1.375	0.875	1.40211
31	1.625	0.875	1.403809
32	1.875	0.875	1.441598
33	0.125	1.125	1.393616
34	0.375	1.125	1.256019
35	0.625	1.125	1.421362
36	0.875	1.125	1.166612
37	1.125	1.125	1.490474
38	1.375	1.125	1.605958
39	1.625	1.125	1.556128
40	1.875	1.125	1.621932
41	0.125	1.375	1.491815
42	0.375	1.375	1.44887
43	0.625	1.375	1.513302
44	0.875	1.375	1.283675
45	1.125	1.375	1.568228
46	1.375	1.375	1.409382
47	1.625	1.375	1.41421
48	1.875	1.375	1.282215
49	0.125	1.625	1.30558
50	0.375	1.625	1.705617
51	0.625	1.625	1.446366
52	0.875	1.625	1.665473
53	1.125	1.625	1.493096
54	1.375	1.625	1.565099
55	1.625	1.625	1.68106
56	1.875	1.625	1.557648
57	0.125	1.875	1.676261
58	0.375	1.875	1.422554
59	0.625	1.875	1.6177
60	0.875	1.875	1.559973
61	1.125	1.875	1.507312
62	1.375	1.875	1.539201
63	1.625	1.875	1.354575
64	1.875	1.875	1.353621
