Data Size:	128 x 128
Surface Size:	1.75 x 1.75
X Unit:	μm
Y Unit:	μm
Z Unit:	nN

PointNo.     	X      	Y      	Z
1	0.125	0.125	51.072044
2	0.375	0.125	52.103691
3	0.625	0.125	58.413712
4	0.875	0.125	54.207218
5	1.125	0.125	56.579659
6	1.375	0.125	51.601768
7	1.625	0.125	63.925987
8	1.875	0.125	56.582077
9	0.125	0.375	56.320019
10	0.375	0.375	48.175705
11	0.625	0.375	56.852982
12	0.875	0.375	49.745262
13	1.125	0.375	53.161747
14	1.375	0.375	53.666985
15	1.625	0.375	56.31765
16	1.875	0.375	52.640831
17	0.125	0.625	55.525524
18	0.375	0.625	63.395252
19	0.625	0.625	56.30743
20	0.875	0.625	54.472591
21	1.125	0.625	58.675644
22	1.375	0.625	57.113422
23	1.625	0.625	53.422447
24	1.875	0.625	59.981972
25	0.125	0.875	51.61375
26	0.375	0.875	36.596645
27	0.625	0.875	57.916965
28	0.875	0.875	54.750141
29	1.125	0.875	57.366241
30	1.375	0.875	55.787937
31	1.625	0.875	60.519386
32	1.875	0.875	59.979649
33	0.125	1.125	55.524532
34	0.375	1.125	59.742126
35	0.625	1.125	52.638332
36	0.875	1.125	58.408459
37	1.125	1.125	56.831501
38	1.375	1.125	50.013809
39	1.625	1.125	51.863205
40	1.875	1.125	47.673321
41	0.125	1.375	51.079605
42	0.375	1.375	55.779545
43	0.625	1.375	56.05014
44	0.875	1.375	56.839287
45	1.125	1.375	56.832302
46	1.375	1.375	52.898438
47	1.625	1.375	57.097725
48	1.875	1.375	54.991699
49	0.125	1.625	50.293583
50	0.375	1.625	47.659595
51	0.625	1.625	51.582115
52	0.875	1.625	55.269905
53	1.125	1.625	54.972656
54	1.375	1.625	51.331203
55	1.625	1.625	59.725342
56	1.875	1.625	54.485565
57	0.125	1.875	55.524773
58	0.375	1.875	52.905777
59	0.625	1.875	53.155788
60	0.875	1.875	50.026478
61	1.125	1.875	54.991043
62	1.375	1.875	58.404182
63	1.625	1.875	55.53616
64	1.875	1.875	51.058975
