Data Size:	128 x 128
Surface Size:	1.75 x 1.75
X Unit:	μm
Y Unit:	μm
Z Unit:	N/m

PointNo.     	X      	Y      	Z
1	0.125	0.125	126.92599
2	0.375	0.125	106.593437
3	0.625	0.125	110.319549
4	0.875	0.125	94.971758
5	1.125	0.125	106.754816
6	1.375	0.125	99.001281
7	1.625	0.125	102.804045
8	1.875	0.125	97.300122
9	0.125	0.375	104.477166
10	0.375	0.375	108.935737
11	0.625	0.375	107.984907
12	0.875	0.375	97.022887
13	1.125	0.375	104.255978
14	1.375	0.375	93.794544
15	1.625	0.375	108.7983
16	1.875	0.375	99.132072
17	0.125	0.625	96.481837
18	0.375	0.625	89.934344
19	0.625	0.625	86.112522
20	0.875	0.625	106.76748
21	1.125	0.625	117.117771
22	1.375	0.625	119.073931
23	1.625	0.625	114.059715
24	1.875	0.625	116.737752
25	0.125	0.875	118.438547
26	0.375	0.875	3.744138
27	0.625	0.875	96.251267
28	0.875	0.875	99.425516
29	1.125	0.875	95.777427
30	1.375	0.875	110.448772
31	1.625	0.875	109.746348
32	1.875	0.875	107.246292
33	0.125	1.125	110.929603
34	0.375	1.125	120.981889
35	0.625	1.125	110.799364
36	0.875	1.125	135.442344
37	1.125	1.125	104.606457
38	1.375	1.125	97.245919
39	1.625	1.125	99.508384
40	1.875	1.125	95.62915
41	0.125	1.375	104.675693
42	0.375	1.375	108.336792
43	0.625	1.375	103.024568
44	0.875	1.375	120.842092
45	1.125	1.375	100.758265
46	1.375	1.375	110.065806
47	1.625	1.375	108.76249
48	1.875	1.375	122.215902
49	0.125	1.625	120.814153
50	0.375	1.625	90.482838
51	0.625	1.625	107.256067
52	0.875	1.625	93.609705
53	1.125	1.625	104.262198
54	1.375	1.625	99.443979
55	1.625	1.625	93.835448
56	1.875	1.625	99.411482
57	0.125	1.875	91.91506
58	0.375	1.875	110.148917
59	0.625	1.875	95.086524
60	0.875	1.875	99.768674
61	1.125	1.875	102.919167
62	1.375	1.875	101.295374
63	1.625	1.875	114.509534
64	1.875	1.875	115.959613
